WELLNAME=Testwell
STDEP  =  190.0000  
ENDEP  =  248.5000  
LEVEL  =  0.1250  
CURNAMES  CAL  DT  GR  LLD  LLS  MSFL  NPHI  RHOB  SP

#DEPTH    CAL      DT        GR        LLD      LLS      MSFL    NPHI    RHOB    SP    
193.0000  15.7910  96.4320  77.6300  12.9840  4.6120  2.0440  0.2010  2.3950  -12.0700  
193.1250  15.7210  100.4300  79.3210  9.6020  4.4910  1.8940  0.2000  2.3740  -11.6530  
193.2500  15.7380  102.4510  79.0350  9.6310  4.2890  1.9920  0.1980  2.3650  -10.0500  
193.3750  15.7010  103.3900  76.1620  9.4960  4.0920  2.2290  0.2030  2.3580  -9.0060  
193.5000  15.6130  103.3870  72.6110  8.4100  3.9570  1.7700  0.2160  2.3520  -8.8180  
193.6250  15.5330  102.8530  70.2530  7.4360  3.8670  1.5780  0.2340  2.3480  -8.7550  
193.7500  15.5390  103.0590  69.3300  9.8920  3.6780  1.9050  0.2550  2.3450  -6.8260  
193.8750  15.5330  103.3140  69.0110  9.3950  3.6870  1.7050  0.2580  2.3470  -6.3330  
194.0000  15.5360  103.4530  69.9920  9.0110  3.7710  1.6630  0.2620  2.3440  -6.7670  
194.1250  15.5360  103.6110  69.6520  10.3410  3.7960  1.6640  0.2620  2.3420  -6.0510  
194.2500  15.5330  103.8490  69.4150  11.0940  3.7990  1.5460  0.2640  2.3420  -4.7170  
194.3750  15.5390  104.1140  72.2370  8.1610  3.8870  1.7640  0.2760  2.3430  -4.5980  
194.5000  15.5390  104.0120  73.3130  9.1460  3.8520  1.8780  0.2680  2.3500  -4.3420  
194.6250  15.5560  103.7280  75.2520  9.2660  3.7390  2.3280  0.2670  2.3560  -3.8140  
194.7500  15.6010  103.4890  74.7430  8.7900  3.7000  2.0660  0.2570  2.3590  -3.5740  
194.8750  15.6240  103.4210  73.9560  9.5680  3.7260  1.8740  0.2530  2.3580  -3.2910  
195.0000  15.6120  103.6400  73.9280  10.9020  3.7520  1.8290  0.2560  2.3520  -2.7700  
195.1250  15.6250  104.2510  72.2540  7.8440  3.6800  1.9350  0.2490  2.3440  -2.3100  
195.2500  15.5990  104.3530  72.7670  9.0500  3.6300  1.8290  0.2560  2.3360  -2.0280  
195.3750  15.6140  104.6980  71.1770  7.8560  3.7130  1.8020  0.2550  2.3340  -2.0700  
195.5000  15.6290  104.1740  70.9800  7.7380  3.7550  1.7310  0.2560  2.3320  -1.9350  
195.6250  15.6330  103.0160  71.7950  8.9240  3.6840  1.8440  0.2550  2.3330  -1.7010  
195.7500  15.6300  102.1120  71.9790  9.5540  3.5380  2.1690  0.2410  2.3400  -1.6800  
195.8750  15.6110  102.0090  73.7210  6.4020  3.5450  2.0130  0.2340  2.3530  -1.8590  
196.0000  15.6270  102.8410  71.9120  9.5630  3.5540  1.6650  0.2400  2.3540  -1.8280  
196.1250  15.6550  103.1960  71.1790  8.6220  3.5610  1.8220  0.2450  2.3570  -2.1140  
196.2500  15.6780  102.9590  70.2750  8.1720  3.6820  2.4170  0.2500  2.3670  -2.3070  
196.3750  15.6880  101.3010  69.5110  10.7820  3.9360  3.9090  0.2520  2.3890  -2.4390  
196.5000  15.6880  96.7000  71.6930  13.7050  4.2030  5.2790  0.2450  2.4270  -3.1450  
196.6250  15.6880  95.2640  71.8470  10.0400  4.1480  7.1320  0.2530  2.4440  -2.8380  
196.7500  15.6880  96.7570  74.5100  9.8840  4.1290  2.7110  0.2550  2.4340  -2.6980  
196.8750  15.7030  98.4820  74.4670  10.7190  4.0390  1.7110  0.2530  2.4090  -2.8400  
197.0000  15.7240  101.2720  73.1210  9.6720  3.8620  1.6040  0.2540  2.3780  -2.7020  
197.1250  15.7260  105.4840  72.6900  6.5230  3.6710  1.5590  0.2610  2.3490  -2.0500  
197.2500  15.6750  105.3810  69.1530  9.8600  3.7120  1.5810  0.2630  2.3330  -2.5630  
197.3750  15.6360  104.9900  73.8480  10.8940  3.6300  1.7270  0.2640  2.3220  -2.5220  
197.5000  15.6430  105.2440  77.0840  8.8180  3.5280  1.5950  0.2580  2.3200  -2.4450  
197.6250  15.6270  105.7570  81.5210  7.9730  3.4760  1.4810  0.2510  2.3220  -2.2650  
197.7500  15.6170  105.5770  86.8750  8.7160  3.5060  1.5960  0.2500  2.3280  -2.2650  
197.8750  15.7240  103.5010  89.5440  7.4590  3.6080  1.7800  0.2600  2.3460  -2.9790  
198.0000  15.8140  99.5020  92.2610  6.4310  3.6870  3.1560  0.2570  2.3770  -3.6450  
198.1250  15.9250  96.3680  92.4710  9.9070  3.8160  4.9430  0.2670  2.4140  -3.7070  
198.2500  16.0410  94.8660  90.7760  9.7110  3.9160  4.9940  0.2770  2.4350  -4.3590  
198.3750  16.1400  95.1640  89.2500  8.8290  4.0560  3.3090  0.2800  2.4410  -5.4980  
198.5000  16.2290  96.8230  88.6980  10.9150  4.2360  2.3320  0.2770  2.4370  -6.5380  
198.6250  16.3700  98.5660  85.7250  12.9100  4.1850  2.8010  0.2680  2.4210  -6.7430  
198.7500  16.4490  99.2190  82.5540  9.2620  4.3630  3.5310  0.2700  2.4310  -7.4930  
198.8750  16.4690  98.8390  81.3670  8.1300  4.5870  4.3040  0.2810  2.4480  -8.4530  
199.0000  16.4420  98.5540  81.3960  10.2750  4.7260  4.3510  0.2960  2.4640  -9.1540  
199.1250  16.4460  99.0680  82.8580  12.8730  4.7280  4.3290  0.3110  2.4730  -9.6430  
199.2500  16.5670  100.5310  86.0790  11.9160  4.6270  3.5370  0.3200  2.4720  -10.3140  
199.3750  16.6180  102.2740  85.5660  12.5400  4.6350  3.8970  0.3300  2.4690  -11.0320  
199.5000  16.6250  103.4820  85.2770  11.3810  4.6530  4.1840  0.3260  2.4710  -11.5710  
199.6250  16.6170  102.5400  86.8900  9.9170  4.6270  4.0930  0.3210  2.4680  -12.2510  
199.7500  16.6040  101.2420  89.0610  9.3210  4.5730  3.9300  0.3170  2.4630  -12.7540  
199.8750  16.5960  100.8470  90.1820  9.9720  4.5520  3.5980  0.3130  2.4580  -12.9510  
200.0000  16.6090  100.1300  89.5660  10.9140  4.6740  2.6410  0.3100  2.4520  -13.3100  
200.1250  16.6220  100.8380  86.9140  11.6810  4.6580  3.4210  0.3040  2.4440  -14.2290  
200.2500  16.6150  101.9530  83.5740  9.8030  4.5940  3.6700  0.3060  2.4490  -14.1990  
200.3750  16.6160  101.9880  81.9430  8.7400  4.5520  3.8570  0.3080  2.4530  -13.9200  
